applicationNumber,animalclass,status,labelType,proprietaryName,fileName,bytes,ingredients,proprietary,bblabelId,indications
NADA 141-246,Catfish,VFD,C,Aquaflor® Type A Medicated Article,141246 Florfenicol Type C Medicated Catfish Feed.pdf,,Florfenicol,,7888,<p>For the control of mortality due to enteric septicemia of catfish associated with <em>Edwardsiella ictaluri.</em><br/></p>
NADA 141-246,Freshwater-reared finfish,VFD,C,Aquaflor® Type A Medicated Article,141246 Florfenicol Type C Medicated Freshwater-reared Finfish Feed.pdf,,Florfenicol,,7903,<p>For the control of mortality due to columnaris disease associated with <em>Flavobacterium columnare.</em><br/></p>
NADA 141-246,Freshwater-reared salmonids,VFD,C,Aquaflor® Type A Medicated Article,141246 Florfenicol Type C Medicated Freshwater-reared Salmonid Feed.pdf,,Florfenicol,,7904,<p>For the control of mortality due to furunculosis associated with <em>Aeromonas salmonicida.</em></p><p><em></em>For the control of mortality due to coldwater disease associated with <em>Flavobacterium psychrophilum.</em><br/></p>
NADA 141-246,Freshwater-reared warmwater finfish,VFD,C,Aquaflor® Type A Medicated Article,141246 Florfenicol Type C Medicated Freshwater-reared Warmwater Finfish Feed.pdf,,Florfenicol,,7905,<p>For the control of mortality due to streptococcal septicemia associated with <em>Streptococcus iniae. </em><br/></p>
NADA 141-264,Catfish,VFD,C,Nuflor®,UCM321103.pdf,,Florfenicol,,2513,"<p> <font size=""3""></font>For the control of mortality due to enteric septicemia of catfish associated with <em>Edwardsiella ictaluri</em>. <font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font><i></i></p>"
NADA 141-264,Freshwater-reared finfish,VFD,C,Nuflor®,UCM483979.pdf,,Florfenicol,,2508,"<p> <font size=""3""></font>For the control of mortality due to columnaris disease associated with <em>Flavobacterium columnare. </em><font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font><i></i></p>"
NADA 141-264,Freshwater-reared salmonids,VFD,C,Nuflor®,UCM321106.pdf,,Florfenicol,,2499,"<p style=""text-align: center;"">For the control of mortality due to furunculosis associated with <em>Aeromonas salmonicida</em>. </p><p>For the control of mortality due to coldwater disease associated with <em>Flavobacterium psychrophilum. </em><font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font><i></i></p><p><em></em></p><p><font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font></p><p><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></p><p><i></i></p><p><b><font size=""3""></font></b></p>"
NADA 141-264,Freshwater-reared warmwater finfish,VFD,C,Nuflor®,UCM483993.pdf,,Florfenicol,,2504,"<p> <font size=""3""></font>For the control of mortality due to streptococcal septicemia associated with <em>Streptococcus iniae.</em> <font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font><i></i></p>"
NADA 038-439,Catfish,VFD,C,"Terramycin® 100 for Fish,Terramycin® 200 for Fish",NADA 038-439 Type C catfish feed 030223.pdf,,Oxytetracycline Dihydrate,,11627,<p>For the control of mortality due to columnaris disease associated with<i> Flavobacterium columnare</i>.<br/></p>
NADA 038-439,Freshwater-Reared Salmonids and Catfish,VFD,C,"Terramycin® 100 for Fish,Terramycin® 200 for Fish",NADA 038-439 Terramycin 200 for Fish Type C SALMONID and CATFISH FEED 030223.pdf,,Oxytetracycline Dihydrate,,191,"<p>Freshwater-Reared Salmonids: For control of ulcer disease caused by <i>Haemophilus piscium</i>, furunculosis caused by <i>Aeromonas salmonicida</i>, bacterial hemorrhagic<br/>septicemia caused by <i>Aeromonas hydrophila</i> and pseudomonas disease.<font size=""1""> </font></p><p>Catfish: For control of bacterial hemorrhagic septicemia caused by <i>Aeromonas hydrophila</i> and pseudomonas disease. <font size=""1""></font></p><p></p>"
NADA 038-439,Freshwater-reared Salmonids,VFD,C,"Terramycin® 100 for Fish,Terramycin® 200 for Fish",NADA 038-439 Terramycin 200 for Fish Type C freshwater-reared salmonids  030223.pdf,,Oxytetracycline Dihydrate,,11626,"<p>For the control of mortality due to coldwater disease associated with <i>Flavobacterium psychrophilum</i>. For the control of mortality due to columnaris disease associated with <i>Flavobacterium columnare</i>.</p><p>For marking of skeletal tissue inÂ <span style=""font-size: 14px;text-align: left;float: none;"">Freshwater-reared salmonids weighing up to 55 grams<!--EndFragment--><br/><br/></span></p>"
NADA 038-439,Lobster,VFD,B,"Terramycin® 100 for Fish,Terramycin® 200 for Fish",UCM532236.pdf,,Oxytetracycline Dihydrate,,480,"<p> <font size=""3""></font>For control of gaffkemia caused by <em>Aerococcus viridans..</em></p>"
NADA 038-439,Lobster,VFD,C,"Terramycin® 100 for Fish,Terramycin® 200 for Fish",UCM532237.pdf,,Oxytetracycline Dihydrate,,472,"<p> <font size=""3""></font>For control of gaffkemia caused by <em>Aerococcus viridans </em><font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font><i></i></p>"
